		आङ्ग्ले	संस्कृते	सङ्ख्या (प्रातिपदिकम्)	पुंलिङ्गम्	स्त्रीलिङ्गम्	नपुंसकलिङ्गम्	सङ्ख्यानम् (प्रातिपदिकम्)	सङ्ख्यानम् (पुंलिङ्गम्)	सङ्ख्यानम् (स्त्रीलिङ्गम्)	सङ्ख्यानम् (नपुंसकलिङ्गम्)	सङ्ख्यानम्-तम (प्रातिपदिकम्)	सङ्ख्यानम्-तम (पुंलिङ्गम्)	सङ्ख्यानम्-तम (स्त्रीलिङ्गम्)	सङ्ख्यानम्-तम (नपुंसकलिङ्गम्)			
	840	840	840	चत्वारिंशत्यधिकाष्टशत			चत्वारिंशत्यधिकाष्टशतम्					चत्वारिंशत्यधिकाष्टशततम	चत्वारिंशत्यधिकाष्टशततमः	चत्वारिंशत्यधिकाष्टशततमी	चत्वारिंशत्यधिकाष्टशततमम्			
	841	841	841	एकचत्वारिंशत्यधिकाष्टशत			एकचत्वारिंशत्यधिकाष्टशतम्					एकचत्वारिंशत्यधिकाष्टशततम	एकचत्वारिंशत्यधिकाष्टशततमः	एकचत्वारिंशत्यधिकाष्टशततमी	एकचत्वारिंशत्यधिकाष्टशततमम्			
*	842*	842	842	द्वि/द्वाचत्वारिंशत्यधिकाष्टशत			द्वि/द्वाचत्वारिंशत्यधिकाष्टशतम्					द्वि/द्वाचत्वारिंशत्यधिकाष्टशततम	द्वि/द्वाचत्वारिंशत्यधिकाष्टशततमः	द्वि/द्वाचत्वारिंशत्यधिकाष्टशततमी	द्वि/द्वाचत्वारिंशत्यधिकाष्टशततमम्			
*	843*	843	843	त्रि/त्रयश्चत्वारिंशत्यधिकाष्टशत			त्रि/त्रयश्चत्वारिंशत्यधिकाष्टशतम्					त्रि/त्रयश्चत्वारिंशत्यधिकाष्टशततम	त्रि/त्रयश्चत्वारिंशत्यधिकाष्टशततमः	त्रि/त्रयश्चत्वारिंशत्यधिकाष्टशततमी	त्रि/त्रयश्चत्वारिंशत्यधिकाष्टशततमम्			
	844	844	844	चतुश्चत्वारिंशत्यधिकाष्टशत			चतुश्चत्वारिंशत्यधिकाष्टशतम्					चतुश्चत्वारिंशत्यधिकाष्टशततम	चतुश्चत्वारिंशत्यधिकाष्टशततमः	चतुश्चत्वारिंशत्यधिकाष्टशततमी	चतुश्चत्वारिंशत्यधिकाष्टशततमम्			
	845	845	845	पञ्चचत्वारिंशत्यधिकाष्टशत			पञ्चचत्वारिंशत्यधिकाष्टशतम्					पञ्चचत्वारिंशत्यधिकाष्टशततम	पञ्चचत्वारिंशत्यधिकाष्टशततमः	पञ्चचत्वारिंशत्यधिकाष्टशततमी	पञ्चचत्वारिंशत्यधिकाष्टशततमम्			
	846	846	846	षट्चत्वारिंशत्यधिकाष्टशत			षट्चत्वारिंशत्यधिकाष्टशतम्					षट्चत्वारिंशत्यधिकाष्टशततम	षट्चत्वारिंशत्यधिकाष्टशततमः	षट्चत्वारिंशत्यधिकाष्टशततमी	षट्चत्वारिंशत्यधिकाष्टशततमम्			
	847	847	847	सप्तचत्वारिंशत्यधिकाष्टशत			सप्तचत्वारिंशत्यधिकाष्टशतम्					सप्तचत्वारिंशत्यधिकाष्टशततम	सप्तचत्वारिंशत्यधिकाष्टशततमः	सप्तचत्वारिंशत्यधिकाष्टशततमी	सप्तचत्वारिंशत्यधिकाष्टशततमम्			
*	848*	848	848	अष्ट/अष्टचत्वारिंशत्यधिकाष्टशत			अष्ट/अष्टचत्वारिंशत्यधिकाष्टशतम्					अष्ट/अष्टचत्वारिंशत्यधिकाष्टशततम	अष्ट/अष्टचत्वारिंशत्यधिकाष्टशततमः	अष्ट/अष्टचत्वारिंशत्यधिकाष्टशततमी	अष्ट/अष्टचत्वारिंशत्यधिकाष्टशततमम्			
*	849*	849	849	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकाष्टशत			ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकाष्टशतम्					ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकाष्टशततम	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकाष्टशततमः	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकाष्टशततमी	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकाष्टशततमम्			
	850	850	850	पञ्चाशत्यधिकाष्टशत			पञ्चाशत्यधिकाष्टशतम्					पञ्चाशत्यधिकाष्टशततम	पञ्चाशत्यधिकाष्टशततमः	पञ्चाशत्यधिकाष्टशततमी	पञ्चाशत्यधिकाष्टशततमम्			
	851	851	851	एकपञ्चाशत्यधिकाष्टशत			एकपञ्चाशत्यधिकाष्टशतम्					एकपञ्चाशत्यधिकाष्टशततम	एकपञ्चाशत्यधिकाष्टशततमः	एकपञ्चाशत्यधिकाष्टशततमी	एकपञ्चाशत्यधिकाष्टशततमम्			
*	852*	852	852	द्वि/द्वापञ्चाशत्यधिकाष्टशत			द्वि/द्वापञ्चाशत्यधिकाष्टशतम्					द्वि/द्वापञ्चाशत्यधिकाष्टशततम	द्वि/द्वापञ्चाशत्यधिकाष्टशततमः	द्वि/द्वापञ्चाशत्यधिकाष्टशततमी	द्वि/द्वापञ्चाशत्यधिकाष्टशततमम्			
*	853*	853	853	त्रि/त्रयःपञ्चाशत्यधिकाष्टशत			त्रि/त्रयःपञ्चाशत्यधिकाष्टशतम्					त्रि/त्रयःपञ्चाशत्यधिकाष्टशततम	त्रि/त्रयःपञ्चाशत्यधिकाष्टशततमः	त्रि/त्रयःपञ्चाशत्यधिकाष्टशततमी	त्रि/त्रयःपञ्चाशत्यधिकाष्टशततमम्			
	854	854	854	चतुःपञ्चाशत्यधिकाष्टशत			चतुःपञ्चाशत्यधिकाष्टशतम्					चतुःपञ्चाशत्यधिकाष्टशततम	चतुःपञ्चाशत्यधिकाष्टशततमः	चतुःपञ्चाशत्यधिकाष्टशततमी	चतुःपञ्चाशत्यधिकाष्टशततमम्			
	855	855	855	पञ्चपञ्चाशत्यधिकाष्टशत			पञ्चपञ्चाशत्यधिकाष्टशतम्					पञ्चपञ्चाशत्यधिकाष्टशततम	पञ्चपञ्चाशत्यधिकाष्टशततमः	पञ्चपञ्चाशत्यधिकाष्टशततमी	पञ्चपञ्चाशत्यधिकाष्टशततमम्			
	856	856	856	षट्पञ्चाशत्यधिकाष्टशत			षट्पञ्चाशत्यधिकाष्टशतम्					षट्पञ्चाशत्यधिकाष्टशततम	षट्पञ्चाशत्यधिकाष्टशततमः	षट्पञ्चाशत्यधिकाष्टशततमी	षट्पञ्चाशत्यधिकाष्टशततमम्			
	857	857	857	सप्तपञ्चाशत्यधिकाष्टशत			सप्तपञ्चाशत्यधिकाष्टशतम्					सप्तपञ्चाशत्यधिकाष्टशततम	सप्तपञ्चाशत्यधिकाष्टशततमः	सप्तपञ्चाशत्यधिकाष्टशततमी	सप्तपञ्चाशत्यधिकाष्टशततमम्			
*	858*	858	858	अष्ट/अष्टपञ्चाशत्यधिकाष्टशत			अष्ट/अष्टपञ्चाशत्यधिकाष्टशतम्					अष्ट/अष्टपञ्चाशत्यधिकाष्टशततम	अष्ट/अष्टपञ्चाशत्यधिकाष्टशततमः	अष्ट/अष्टपञ्चाशत्यधिकाष्टशततमी	अष्ट/अष्टपञ्चाशत्यधिकाष्टशततमम्			
*	859*	859	859	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशत			ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशतम्					ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततम	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततमः	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततमी	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततमम्			
	860	860	860	षष्ट्यधिकाष्टशत			षष्ट्यधिकाष्टशतम्					षष्ट्यधिकाष्टशततम	षष्ट्यधिकाष्टशततमः	षष्ट्यधिकाष्टशततमी	षष्ट्यधिकाष्टशततमम्			
	861	861	861	एकषष्ट्यधिकाष्टशत 			एकषष्ट्यधिकाष्टशतम् 					एकषष्ट्यधिकाष्टशततम	एकषष्ट्यधिकाष्टशततमः	एकषष्ट्यधिकाष्टशततमी	एकषष्ट्यधिकाष्टशततमम्			
*	862*	862	862	द्वि/द्वाषष्ट्यधिकाष्टशत			द्वि/द्वाषष्ट्यधिकाष्टशतम्					द्वि/द्वाषष्ट्यधिकाष्टशततम	द्वि/द्वाषष्ट्यधिकाष्टशततमः	द्वि/द्वाषष्ट्यधिकाष्टशततमी	द्वि/द्वाषष्ट्यधिकाष्टशततमम्			
*	863*	863	863	त्रि/त्रयः/त्रयष्षष्ट्यधिकाष्टशत			त्रि/त्रयः/त्रयष्षष्ट्यधिकाष्टशतम्					त्रि/त्रयः/त्रयष्षष्ट्यधिकाष्टशततम	त्रि/त्रयः/त्रयष्षष्ट्यधिकाष्टशततमः	त्रि/त्रयः/त्रयष्षष्ट्यधिकाष्टशततमी	त्रि/त्रयः/त्रयष्षष्ट्यधिकाष्टशततमम्			
	864	864	864	चतुःषष्ट्यधिकाष्टशत			चतुःषष्ट्यधिकाष्टशतम्					चतुःषष्ट्यधिकाष्टशततम	चतुःषष्ट्यधिकाष्टशततमः	चतुःषष्ट्यधिकाष्टशततमी	चतुःषष्ट्यधिकाष्टशततमम्			
	865	865	865	पञ्चषष्ट्यधिकाष्टशत			पञ्चषष्ट्यधिकाष्टशतम्					पञ्चषष्ट्यधिकाष्टशततम	पञ्चषष्ट्यधिकाष्टशततमः	पञ्चषष्ट्यधिकाष्टशततमी	पञ्चषष्ट्यधिकाष्टशततमम्			
	866	866	866	षट्षष्ट्यधिकाष्टशत			षट्षष्ट्यधिकाष्टशतम्					षट्षष्ट्यधिकाष्टशततम	षट्षष्ट्यधिकाष्टशततमः	षट्षष्ट्यधिकाष्टशततमी	षट्षष्ट्यधिकाष्टशततमम्			
	867	867	867	सप्तषष्ट्यधिकाष्टशत			सप्तषष्ट्यधिकाष्टशतम्					सप्तषष्ट्यधिकाष्टशततम	सप्तषष्ट्यधिकाष्टशततमः	सप्तषष्ट्यधिकाष्टशततमी	सप्तषष्ट्यधिकाष्टशततमम्			
*	868*	868	868	अष्ट/अष्टषष्ट्यधिकाष्टशत			अष्ट/अष्टषष्ट्यधिकाष्टशतम्					अष्ट/अष्टषष्ट्यधिकाष्टशततम	अष्ट/अष्टषष्ट्यधिकाष्टशततमः	अष्ट/अष्टषष्ट्यधिकाष्टशततमी	अष्ट/अष्टषष्ट्यधिकाष्टशततमम्			
*	869*	869	869	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकाष्टशत			ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकाष्टशतम्					ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकाष्टशततम	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकाष्टशततमः	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकाष्टशततमी	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकाष्टशततमम्			
	870	870	870	सप्तत्यधिकाष्टशत			सप्तत्यधिकाष्टशतम्					सप्तत्यधिकाष्टशततम	सप्तत्यधिकाष्टशततमः	सप्तत्यधिकाष्टशततमी	सप्तत्यधिकाष्टशततमम्			
	871	871	871	एकसप्तत्यधिकाष्टशत 			एकसप्तत्यधिकाष्टशतम् 					एकसप्तत्यधिकाष्टशततम	एकसप्तत्यधिकाष्टशततमः	एकसप्तत्यधिकाष्टशततमी	एकसप्तत्यधिकाष्टशततमम्			
*	872*	872	872	द्वि/द्वासप्तत्यधिकाष्टशत 			द्वि/द्वासप्तत्यधिकाष्टशतम् 					द्वि/द्वासप्तत्यधिकाष्टशततम	द्वि/द्वासप्तत्यधिकाष्टशततमः	द्वि/द्वासप्तत्यधिकाष्टशततमी	द्वि/द्वासप्तत्यधिकाष्टशततमम्			
*	873*	873	873	त्रि/त्रयः/त्रयस्सप्तत्यधिकाष्टशत 			त्रि/त्रयः/त्रयस्सप्तत्यधिकाष्टशतम् 					त्रि/त्रयः/त्रयस्सप्तत्यधिकाष्टशततम	त्रि/त्रयः/त्रयस्सप्तत्यधिकाष्टशततमः	त्रि/त्रयः/त्रयस्सप्तत्यधिकाष्टशततमी	त्रि/त्रयः/त्रयस्सप्तत्यधिकाष्टशततमम्			
	874	874	874	चतुःसप्तत्यधिकाष्टशत 			चतुःसप्तत्यधिकाष्टशतम् 					चतुःसप्तत्यधिकाष्टशततम	चतुःसप्तत्यधिकाष्टशततमः	चतुःसप्तत्यधिकाष्टशततमी	चतुःसप्तत्यधिकाष्टशततमम्			
	875	875	875	पञ्चसप्तत्यधिकाष्टशत 			पञ्चसप्तत्यधिकाष्टशतम् 					पञ्चसप्तत्यधिकाष्टशततम	पञ्चसप्तत्यधिकाष्टशततमः	पञ्चसप्तत्यधिकाष्टशततमी	पञ्चसप्तत्यधिकाष्टशततमम्			
	876	876	876	षट्सप्तत्यधिकाष्टशत			षट्सप्तत्यधिकाष्टशतम्					षट्सप्तत्यधिकाष्टशततम	षट्सप्तत्यधिकाष्टशततमः	षट्सप्तत्यधिकाष्टशततमी	षट्सप्तत्यधिकाष्टशततमम्			
	877	877	877	सप्तसप्तत्यधिकाष्टशत			सप्तसप्तत्यधिकाष्टशतम्					सप्तसप्तत्यधिकाष्टशततम	सप्तसप्तत्यधिकाष्टशततमः	सप्तसप्तत्यधिकाष्टशततमी	सप्तसप्तत्यधिकाष्टशततमम्			
*	878*	878	878	अष्ट/अष्टसप्तत्यधिकाष्टशत			अष्ट/अष्टसप्तत्यधिकाष्टशतम्					अष्ट/अष्टसप्तत्यधिकाष्टशततम	अष्ट/अष्टसप्तत्यधिकाष्टशततमः	अष्ट/अष्टसप्तत्यधिकाष्टशततमी	अष्ट/अष्टसप्तत्यधिकाष्टशततमम्			
*	879*	879	879	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकाष्टशत			ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकाष्टशतम्					ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकाष्टशततम	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकाष्टशततमः	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकाष्टशततमी	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकाष्टशततमम्			
	880	880	880	अशीत्यधिकाष्टशत			अशीत्यधिकाष्टशतम्					अशीत्यधिकाष्टशततम	अशीत्यधिकाष्टशततमः	अशीत्यधिकाष्टशततमी	अशीत्यधिकाष्टशततमम्			
	881	881	881	एकाशीत्यधिकाष्टशत			एकाशीत्यधिकाष्टशतम्					एकाशीत्यधिकाष्टशततम	एकाशीत्यधिकाष्टशततमः	एकाशीत्यधिकाष्टशततमी	एकाशीत्यधिकाष्टशततमम्			
*	882*	882	882	द्व्यशीत्यधिकाष्टशत			द्व्यशीत्यधिकाष्टशतम्					द्व्यशीत्यधिकाष्टशततम	द्व्यशीत्यधिकाष्टशततमः	द्व्यशीत्यधिकाष्टशततमी	द्व्यशीत्यधिकाष्टशततमम्			
*	883*	883	883	त्र्यशीत्यधिकाष्टशत			त्र्यशीत्यधिकाष्टशतम्					त्र्यशीत्यधिकाष्टशततम	त्र्यशीत्यधिकाष्टशततमः	त्र्यशीत्यधिकाष्टशततमी	त्र्यशीत्यधिकाष्टशततमम्			
	884	884	884	चतुरशीत्यधिकाष्टशत			चतुरशीत्यधिकाष्टशतम्					चतुरशीत्यधिकाष्टशततम	चतुरशीत्यधिकाष्टशततमः	चतुरशीत्यधिकाष्टशततमी	चतुरशीत्यधिकाष्टशततमम्			
	885	885	885	पञ्चाशीत्यधिकाष्टशत			पञ्चाशीत्यधिकाष्टशतम्					पञ्चाशीत्यधिकाष्टशततम	पञ्चाशीत्यधिकाष्टशततमः	पञ्चाशीत्यधिकाष्टशततमी	पञ्चाशीत्यधिकाष्टशततमम्			
	886	886	886	षडशीत्यधिकाष्टशत			षडशीत्यधिकाष्टशतम्					षडशीत्यधिकाष्टशततम	षडशीत्यधिकाष्टशततमः	षडशीत्यधिकाष्टशततमी	षडशीत्यधिकाष्टशततमम्			
	887	887	887	सप्ताशीत्यधिकाष्टशत			सप्ताशीत्यधिकाष्टशतम्					सप्ताशीत्यधिकाष्टशततम	सप्ताशीत्यधिकाष्टशततमः	सप्ताशीत्यधिकाष्टशततमी	सप्ताशीत्यधिकाष्टशततमम्			
*	888*	888	888	अष्टाशीत्यधिकाष्टशत			अष्टाशीत्यधिकाष्टशतम्					अष्टाशीत्यधिकाष्टशततम	अष्टाशीत्यधिकाष्टशततमः	अष्टाशीत्यधिकाष्टशततमी	अष्टाशीत्यधिकाष्टशततमम्			
*	889*	889	889	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकाष्टशत			ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकाष्टशतम्					ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकाष्टशततम	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकाष्टशततमः	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकाष्टशततमी	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकाष्टशततमम्			
	890	890	890	नवत्यधिकाष्टशत			नवत्यधिकाष्टशतम्					नवत्यधिकाष्टशततम	नवत्यधिकाष्टशततमः	नवत्यधिकाष्टशततमी	नवत्यधिकाष्टशततमम्			
	891	891	891	एकनवत्यधिकाष्टशत			एकनवत्यधिकाष्टशतम्					एकनवत्यधिकाष्टशततम	एकनवत्यधिकाष्टशततमः	एकनवत्यधिकाष्टशततमी	एकनवत्यधिकाष्टशततमम्			
*	892*	892	892	द्वि/द्वानवत्यधिकाष्टशत			द्वि/द्वानवत्यधिकाष्टशतम्					द्वि/द्वानवत्यधिकाष्टशततम	द्वि/द्वानवत्यधिकाष्टशततमः	द्वि/द्वानवत्यधिकाष्टशततमी	द्वि/द्वानवत्यधिकाष्टशततमम्			
*	893*	893	893	त्रिनवत्यधिकाष्टशत			त्रिनवत्यधिकाष्टशतम्					त्रिनवत्यधिकाष्टशततम	त्रिनवत्यधिकाष्टशततमः	त्रिनवत्यधिकाष्टशततमी	त्रिनवत्यधिकाष्टशततमम्			
	894	894	894	चतुर्नवत्यधिकाष्टशत			चतुर्नवत्यधिकाष्टशतम्					चतुर्नवत्यधिकाष्टशततम	चतुर्नवत्यधिकाष्टशततमः	चतुर्नवत्यधिकाष्टशततमी	चतुर्नवत्यधिकाष्टशततमम्			
	895	895	895	पञ्चनवत्यधिकाष्टशत			पञ्चनवत्यधिकाष्टशतम्					पञ्चनवत्यधिकाष्टशततम	पञ्चनवत्यधिकाष्टशततमः	पञ्चनवत्यधिकाष्टशततमी	पञ्चनवत्यधिकाष्टशततमम्			
	896	896	896	षण्णवत्यधिकाष्टशत			षण्णवत्यधिकाष्टशतम्					षण्णवत्यधिकाष्टशततम	षण्णवत्यधिकाष्टशततमः	षण्णवत्यधिकाष्टशततमी	षण्णवत्यधिकाष्टशततमम्			
	897	897	897	सप्तनवत्यधिकाष्टशत			सप्तनवत्यधिकाष्टशतम्					सप्तनवत्यधिकाष्टशततम	सप्तनवत्यधिकाष्टशततमः	सप्तनवत्यधिकाष्टशततमी	सप्तनवत्यधिकाष्टशततमम्			
*	898*	898	898	अष्ट/अष्टनवत्यधिकाष्टशत			अष्ट/अष्टनवत्यधिकाष्टशतम्					अष्ट/अष्टनवत्यधिकाष्टशततम	अष्ट/अष्टनवत्यधिकाष्टशततमः	अष्ट/अष्टनवत्यधिकाष्टशततमी	अष्ट/अष्टनवत्यधिकाष्टशततमम्			
*	899*	899	899	नवनवत्यधिकाष्टशत			नवनवत्यधिकाष्टशतम्					नवनवत्यधिकाष्टशततम	नवनवत्यधिकाष्टशततमः	नवनवत्यधिकाष्टशततमी	नवनवत्यधिकाष्टशततमम्			
	900	900	900	नवशत			नवशतम्					नवशततम	नवशततमः	नवशततमी	नवशततमम्			
	901	901	901	एकाधिकनवशत			एकाधिकनवशतम्					एकाधिकनवशततम	एकाधिकनवशततमः	एकाधिकनवशततमी	एकाधिकनवशततमम्			
*	902*	902	902	द्व्यधिकनवशत			द्व्यधिकनवशतम्					द्व्यधिकनवशततम	द्व्यधिकनवशततमः	द्व्यधिकनवशततमी	द्व्यधिकनवशततमम्			
*	903*	903	903	त्र्यधिकनवशत			त्र्यधिकनवशतम्					त्र्यधिकनवशततम	त्र्यधिकनवशततमः	त्र्यधिकनवशततमी	त्र्यधिकनवशततमम्			
	904	904	904	चतुरधिकनवशत			चतुरधिकनवशतम्					चतुरधिकनवशततम	चतुरधिकनवशततमः	चतुरधिकनवशततमी	चतुरधिकनवशततमम्			
	905	905	905	पञ्चाधिकनवशत			पञ्चाधिकनवशतम्					पञ्चाधिकनवशततम	पञ्चाधिकनवशततमः	पञ्चाधिकनवशततमी	पञ्चाधिकनवशततमम्			
	906	906	906	षडधिकनवशत			षडधिकनवशतम्					षडधिकनवशततम	षडधिकनवशततमः	षडधिकनवशततमी	षडधिकनवशततमम्			
	907	907	907	सप्ताधिकनवशत			सप्ताधिकनवशतम्					सप्ताधिकनवशततम	सप्ताधिकनवशततमः	सप्ताधिकनवशततमी	सप्ताधिकनवशततमम्			
*	908*	908	908	अष्टाधिकनवशत			अष्टाधिकनवशतम्					अष्टाधिकनवशततम	अष्टाधिकनवशततमः	अष्टाधिकनवशततमी	अष्टाधिकनवशततमम्			
*	909*	909	909	नवाधिकनवशत			नवाधिकनवशतम्					नवाधिकनवशततम	नवाधिकनवशततमः	नवाधिकनवशततमी	नवाधिकनवशततमम्			
	910	910	910	दशाधिकनवशत			दशाधिकनवशतम्					दशाधिकनवशततम	दशाधिकनवशततमः	दशाधिकनवशततमी	दशाधिकनवशततमम्			
	911	911	911	एकादशाधिकनवशत			एकादशाधिकनवशतम्					एकादशाधिकनवशततम	एकादशाधिकनवशततमः	एकादशाधिकनवशततमी	एकादशाधिकनवशततमम्			
*	912*	912	912	द्वादशाधिकनवशत			द्वादशाधिकनवशतम्					द्वादशाधिकनवशततम	द्वादशाधिकनवशततमः	द्वादशाधिकनवशततमी	द्वादशाधिकनवशततमम्			
*	913*	913	913	त्रयोदशाधिकनवशत			त्रयोदशाधिकनवशतम्					त्रयोदशाधिकनवशततम	त्रयोदशाधिकनवशततमः	त्रयोदशाधिकनवशततमी	त्रयोदशाधिकनवशततमम्			
	914	914	914	चतुर्दशाधिकनवशत			चतुर्दशाधिकनवशतम्					चतुर्दशाधिकनवशततम	चतुर्दशाधिकनवशततमः	चतुर्दशाधिकनवशततमी	चतुर्दशाधिकनवशततमम्			
	915	915	915	पञ्चदशाधिकनवशत			पञ्चदशाधिकनवशतम्					पञ्चदशाधिकनवशततम	पञ्चदशाधिकनवशततमः	पञ्चदशाधिकनवशततमी	पञ्चदशाधिकनवशततमम्			
	916	916	916	षोडशाधिकनवशत			षोडशाधिकनवशतम्					षोडशाधिकनवशततम	षोडशाधिकनवशततमः	षोडशाधिकनवशततमी	षोडशाधिकनवशततमम्			
	917	917	917	सप्तदशाधिकनवशत			सप्तदशाधिकनवशतम्					सप्तदशाधिकनवशततम	सप्तदशाधिकनवशततमः	सप्तदशाधिकनवशततमी	सप्तदशाधिकनवशततमम्			
*	918*	918	918	अष्टादशाधिकनवशत			अष्टादशाधिकनवशतम्					अष्टादशाधिकनवशततम	अष्टादशाधिकनवशततमः	अष्टादशाधिकनवशततमी	अष्टादशाधिकनवशततमम्			
*	919*	919	919	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकनवशत			ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकनवशतम्					ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकनवशततम	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकनवशततमः	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकनवशततमी	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकनवशततमम्			
	920	920	920	विंशत्यधिकनवशत			विंशत्यधिकनवशतम्					विंशत्यधिकनवशततम	विंशत्यधिकनवशततमः	विंशत्यधिकनवशततमी	विंशत्यधिकनवशततमम्			
	921	921	921	एकविंशत्यधिकनवशत			एकविंशत्यधिकनवशतम्					एकविंशत्यधिकनवशततम	एकविंशत्यधिकनवशततमः	एकविंशत्यधिकनवशततमी	एकविंशत्यधिकनवशततमम्			
*	922*	922	922	द्वाविंशत्यधिकनवशत			द्वाविंशत्यधिकनवशतम्					द्वाविंशत्यधिकनवशततम	द्वाविंशत्यधिकनवशततमः	द्वाविंशत्यधिकनवशततमी	द्वाविंशत्यधिकनवशततमम्			
*	923*	923	923	त्रयोविंशत्यधिकनवशत			त्रयोविंशत्यधिकनवशतम्					त्रयोविंशत्यधिकनवशततम	त्रयोविंशत्यधिकनवशततमः	त्रयोविंशत्यधिकनवशततमी	त्रयोविंशत्यधिकनवशततमम्			
	924	924	924	चतुर्विंशत्यधिकनवशत			चतुर्विंशत्यधिकनवशतम्					चतुर्विंशत्यधिकनवशततम	चतुर्विंशत्यधिकनवशततमः	चतुर्विंशत्यधिकनवशततमी	चतुर्विंशत्यधिकनवशततमम्			
	925	925	925	पञ्चविंशत्यधिकनवशत			पञ्चविंशत्यधिकनवशतम्					पञ्चविंशत्यधिकनवशततम	पञ्चविंशत्यधिकनवशततमः	पञ्चविंशत्यधिकनवशततमी	पञ्चविंशत्यधिकनवशततमम्			
	926	926	926	षड्विंशत्यधिकनवशत			षड्विंशत्यधिकनवशतम्					षड्विंशत्यधिकनवशततम	षड्विंशत्यधिकनवशततमः	षड्विंशत्यधिकनवशततमी	षड्विंशत्यधिकनवशततमम्			
	927	927	927	सप्तविंशत्यधिकनवशत			सप्तविंशत्यधिकनवशतम्					सप्तविंशत्यधिकनवशततम	सप्तविंशत्यधिकनवशततमः	सप्तविंशत्यधिकनवशततमी	सप्तविंशत्यधिकनवशततमम्			
*	928*	928	928	अष्टाविंशत्यधिकनवशत			अष्टाविंशत्यधिकनवशतम्					अष्टाविंशत्यधिकनवशततम	अष्टाविंशत्यधिकनवशततमः	अष्टाविंशत्यधिकनवशततमी	अष्टाविंशत्यधिकनवशततमम्			
*	929*	929	929	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकनवशत			ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकनवशतम्					ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकनवशततम	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकनवशततमः	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकनवशततमी	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकनवशततमम्			
	930	930	930	त्रिंशत्यधिकनवशत			त्रिंशत्यधिकनवशतम्					त्रिंशत्यधिकनवशततम	त्रिंशत्यधिकनवशततमः	त्रिंशत्यधिकनवशततमी	त्रिंशत्यधिकनवशततमम्			
	931	931	931	एकत्रिंशत्यधिकनवशत			एकत्रिंशत्यधिकनवशतम्					एकत्रिंशत्यधिकनवशततम	एकत्रिंशत्यधिकनवशततमः	एकत्रिंशत्यधिकनवशततमी	एकत्रिंशत्यधिकनवशततमम्			
*	932*	932	932	द्वात्रिंशत्यधिकनवशत			द्वात्रिंशत्यधिकनवशतम्					द्वात्रिंशत्यधिकनवशततम	द्वात्रिंशत्यधिकनवशततमः	द्वात्रिंशत्यधिकनवशततमी	द्वात्रिंशत्यधिकनवशततमम्			
